modelo,nome,posto,entrada,saida,duracao,perna
Actros,Actros_0,33B,3096.0,7149.0,4053.0,2
Arocs,Arocs_18,31B,6638.0,7193.0,555.0,2
Accelo,Accelo_21,30A,6968.0,7221.0,253.0,1
Arocs,Arocs_20,30B,6638.0,7390.0,752.0,2
Accelo,Accelo_21,31A,7221.0,7537.0,316.0,1
Accelo,Accelo_22,30A,7298.0,7551.0,253.0,1
Accelo,Accelo_10,32A,4475.0,7578.0,3103.0,1
Accelo,Accelo_22,31A,7551.0,7867.0,316.0,1
Accelo,Accelo_25,30A,7628.0,7881.0,253.0,1
Accelo,Accelo_6,32C,5376.0,7912.0,2536.0,1
Arocs,Arocs_20,31B,7390.0,7945.0,555.0,2
Atego,Atego_2,34A,6517.5,7984.0,1466.5,1
Arocs,Arocs_18,32B,7193.0,8158.0,965.0,2
Accelo,Accelo_25,31A,7881.0,8197.0,316.0,1
Atego,Atego_3,33A,6333.0,8281.5,1948.5,1
Atego,Atego_28,30A,8288.0,8602.0,314.0,1
Arocs,Arocs_27,30B,7958.0,8710.0,752.0,2
Atego,Atego_11,32A,4864.0,8712.0,3848.0,1
Accelo,Accelo_29,30A,8618.0,8871.0,253.0,1
Atego,Atego_28,31A,8602.0,8916.0,314.0,1
Atego,Atego_2,38,7984.0,9005.0,1021.0,1
Arocs,Arocs_20,32B,7945.0,9123.0,1178.0,2
Accelo,Accelo_29,31A,8871.0,9232.0,361.0,1
Atego,Atego_30,30A,8948.0,9262.0,314.0,1
Arocs,Arocs_27,31B,8710.0,9265.0,555.0,2
Atego (ATP),Atego (ATP)_12,32D,7019.0,9389.0,2370.0,2
Atego,Atego_8,32C,6510.0,9491.5,2981.5,1
Atego,Atego_30,31A,9262.0,9576.0,314.0,1
Atego,Atego_31,30A,9278.0,9592.0,314.0,1
Atego,Atego_3,34A,8281.5,9748.0,1466.5,1
Atego,Atego_13,32A,5524.0,9846.0,4322.0,1
Accelo,Accelo_6,33A,7912.0,9864.5,1952.5,1
Arocs,Arocs_18,32D,8158.0,9883.0,1725.0,2
Atego,Atego_31,31A,9592.0,9906.0,314.0,1
Atego,Atego_32,30A,9608.0,9922.0,314.0,1
Arocs,Arocs_27,32B,9265.0,10230.0,965.0,2
Atego,Atego_32,31A,9922.0,10236.0,314.0,1
Arocs,Arocs_20,32D,9123.0,10377.0,1254.0,2
Atego,Atego_34,30A,10268.0,10582.0,314.0,1
Actros,Actros_33,30B,9938.0,10690.0,752.0,2
Atego,Atego_3,38,9748.0,10769.0,1021.0,1
Accelo,Accelo_35,30A,10598.0,10851.0,253.0,1
Arocs,Arocs_27,32D,10230.0,10871.0,641.0,2
Atego,Atego_34,31A,10582.0,10896.0,314.0,1
Atego,Atego_15,32A,5854.0,10980.0,5126.0,1
Accelo,Accelo_10,32C,7578.0,11070.5,3492.5,1
Accelo,Accelo_38,30A,10928.0,11181.0,253.0,1
Actros,Actros_1,33B,4061.0,11202.0,7141.0,2
Accelo,Accelo_35,31A,10851.0,11212.0,361.0,1
Actros,Actros_33,31B,10690.0,11245.0,555.0,2
Accelo,Accelo_6,34A,9864.5,11340.5,1476.0,1
Accelo,Accelo_38,31A,11181.0,11528.0,347.0,1
Atego,Atego_8,33A,9491.5,11628.5,2137.0,1
Arocs,Arocs_39,30B,11258.0,12010.0,752.0,2
Atego,Atego_17,32A,6184.0,12114.0,5930.0,1
Actros,Actros_33,32B,11245.0,12210.0,965.0,2
Accelo,Accelo_6,38,11340.5,12361.5,1021.0,1
Arocs,Arocs_39,31B,12010.0,12565.0,555.0,2
Atego,Atego_11,32C,8712.0,12650.0,3938.0,1
Atego,Atego_41,30A,12340.0,12654.0,314.0,1
Actros,Actros_33,32D,12210.0,12704.0,494.0,2
Actros,Actros_40,30B,12010.0,12762.0,752.0,2
Atego,Atego_41,31A,12654.0,12968.0,314.0,1
Atego,Atego_42,30A,12670.0,12984.0,314.0,1
Atego,Atego_8,34A,11628.5,13095.0,1466.5,1
Accelo,Accelo_19,32A,6785.0,13182.0,6397.0,1
Accelo,Accelo_10,33A,11070.5,13211.5,2141.0,1
Atego,Atego_42,31A,12984.0,13298.0,314.0,1
Atego,Atego_43,30A,13000.0,13314.0,314.0,1
Actros,Actros_40,31B,12762.0,13317.0,555.0,2
Arocs,Arocs_39,32B,12565.0,13530.0,965.0,2
Atego,Atego_43,31A,13314.0,13628.0,314.0,1
Actros,Actros_0,34B,7149.0,13650.0,6501.0,2
Arocs,Arocs_39,32D,13530.0,14024.0,494.0,2
Arocs,Arocs_44,30B,13330.0,14082.0,752.0,2
Atego,Atego_8,38,13095.0,14116.0,1021.0,1
Atego,Atego_13,32C,9846.0,14229.5,4383.5,1
Accelo,Accelo_21,32A,7537.0,14250.0,6713.0,1
Actros,Actros_40,32B,13317.0,14495.0,1178.0,2
Arocs,Arocs_44,31B,14082.0,14637.0,555.0,2
Accelo,Accelo_10,34A,13211.5,14687.5,1476.0,1
Atego,Atego_47,30A,14412.0,14726.0,314.0,1
Arocs,Arocs_4,33B,5026.0,14753.666666666666,9727.666666666666,2
Actros,Actros_45,30B,14082.0,14834.0,752.0,2
Atego,Atego_11,33A,12650.0,14975.5,2325.5,1
Actros,Actros_40,32D,14495.0,14989.0,494.0,2
Atego,Atego_47,31A,14726.0,15040.0,314.0,1
Accelo,Accelo_22,32A,7867.0,15318.0,7451.0,1
Actros,Actros_45,31B,14834.0,15389.0,555.0,2
Arocs,Arocs_48,30B,14834.0,15586.0,752.0,2
Arocs,Arocs_44,32B,14637.0,15602.0,965.0,2
Accelo,Accelo_10,38,14687.5,15708.5,1021.0,1
Atego,Atego_15,32C,10980.0,15809.0,4829.0,1
Arocs,Arocs_44,32D,15602.0,16096.0,494.0,2
Arocs,Arocs_48,31B,15586.0,16141.0,555.0,2
Accelo,Accelo_50,30A,15916.0,16169.0,253.0,1
Arocs,Arocs_49,30B,15586.0,16338.0,752.0,2
Accelo,Accelo_25,32A,8197.0,16386.0,8189.0,1
Atego,Atego_11,34A,14975.5,16442.0,1466.5,1
Actros,Actros_0,39,13650.0,16482.0,2832.0,2
Accelo,Accelo_50,31A,16169.0,16485.0,316.0,1
Accelo,Accelo_53,30A,16246.0,16499.0,253.0,1
Actros,Actros_45,32B,15389.0,16567.0,1178.0,2
Atego,Atego_13,33A,14229.5,16739.5,2510.0,1
Accelo,Accelo_53,31A,16499.0,16815.0,316.0,1
Arocs,Arocs_49,31B,16338.0,16893.0,555.0,2
Actros,Actros_45,32D,16567.0,17061.0,494.0,2
Arocs,Arocs_54,30B,16576.0,17328.0,752.0,2
Atego,Atego_17,32C,12114.0,17388.5,5274.5,1
Atego,Atego_11,38,16442.0,17463.0,1021.0,1
Atego,Atego_28,32A,8916.0,17520.0,8604.0,1
Arocs,Arocs_48,32B,16141.0,17532.0,1391.0,2
Arocs,Arocs_54,31B,17328.0,17883.0,555.0,2
Accelo,Accelo_56,30A,17658.0,17911.0,253.0,1
Arocs,Arocs_48,32D,17532.0,18026.0,494.0,2
Arocs,Arocs_55,30B,17328.0,18080.0,752.0,2
Atego,Atego_13,34A,16739.5,18206.0,1466.5,1
Accelo,Accelo_56,31A,17911.0,18227.0,316.0,1
Atego,Atego_59,30A,17988.0,18302.0,314.0,1
Arocs,Arocs_7,33B,5991.0,18305.333333333332,12314.333333333332,2
Arocs,Arocs_49,32B,16893.0,18497.0,1604.0,2
Atego,Atego_15,33A,15809.0,18503.5,2694.5,1
Accelo,Accelo_60,30A,18318.0,18571.0,253.0,1
Accelo,Accelo_29,32A,9232.0,18588.0,9356.0,1
Atego,Atego_59,31A,18302.0,18616.0,314.0,1
Arocs,Arocs_55,31B,18080.0,18635.0,555.0,2
Accelo,Accelo_61,30A,18648.0,18901.0,253.0,1
Accelo,Accelo_60,31A,18571.0,18932.0,361.0,1
Accelo,Accelo_19,32C,13182.0,18967.5,5785.5,1
Arocs,Arocs_49,32D,18497.0,18991.0,494.0,2
Atego,Atego_13,38,18206.0,19227.0,1021.0,1
Accelo,Accelo_62,30A,18978.0,19231.0,253.0,1
Accelo,Accelo_61,31A,18901.0,19248.0,347.0,1
Arocs,Arocs_54,32B,17883.0,19462.0,1579.0,2
Accelo,Accelo_62,31A,19231.0,19564.0,333.0,1
Atego,Atego_63,30A,19308.0,19622.0,314.0,1
Atego,Atego_30,32A,9576.0,19722.0,10146.0,1
Atego,Atego_63,31A,19622.0,19936.0,314.0,1
Atego,Atego_64,30A,19638.0,19952.0,314.0,1
Arocs,Arocs_54,32D,19462.0,19956.0,494.0,2
Atego,Atego_15,34A,18503.5,19970.0,1466.5,1
Actros,Actros_1,34B,11202.0,20151.0,8949.0,2
Atego,Atego_64,31A,19952.0,20266.0,314.0,1
Atego,Atego_17,33A,17388.5,20267.5,2879.0,1
Atego,Atego_65,30A,19968.0,20282.0,314.0,1
Arocs,Arocs_55,32B,18635.0,20427.0,1792.0,2
Accelo,Accelo_21,32C,14250.0,20546.5,6296.5,1
Atego,Atego_65,31A,20282.0,20596.0,314.0,1
Atego,Atego_67,30A,20298.0,20612.0,314.0,1
Atego,Atego_31,32A,9906.0,20856.0,10950.0,1
Arocs,Arocs_55,32D,20427.0,20921.0,494.0,2
Atego,Atego_67,31A,20612.0,20926.0,314.0,1
Atego,Atego_15,38,19970.0,20991.0,1021.0,1
Arocs,Arocs_68,30B,20628.0,21380.0,752.0,2
Atego,Atego_17,34A,20267.5,21734.0,1466.5,1
Accelo,Accelo_19,33A,18967.5,21850.5,2883.0,1
Arocs,Arocs_9,33B,6956.0,21857.0,14901.0,2
Arocs,Arocs_68,31B,21380.0,21935.0,555.0,2
Atego,Atego_32,32A,10236.0,21990.0,11754.0,1
Accelo,Accelo_22,32C,15318.0,22125.5,6807.5,1
Actros,Actros_69,30B,21380.0,22132.0,752.0,2
Actros,Actros_69,31B,22132.0,22687.0,555.0,2
Accelo,Accelo_72,30A,22462.0,22715.0,253.0,1
Atego,Atego_17,38,21734.0,22755.0,1021.0,1
Arocs,Arocs_70,30B,22132.0,22884.0,752.0,2
Arocs,Arocs_68,32B,21935.0,22900.0,965.0,2
Actros,Actros_1,39,20151.0,22983.0,2832.0,2
Accelo,Accelo_72,31A,22715.0,23031.0,316.0,1
Atego,Atego_34,32A,10896.0,23124.0,12228.0,1
Accelo,Accelo_19,34A,21850.5,23326.5,1476.0,1
Arocs,Arocs_68,32D,22900.0,23394.0,494.0,2
Accelo,Accelo_21,33A,20546.5,23433.5,2887.0,1
Arocs,Arocs_70,31B,22884.0,23439.0,555.0,2
Atego,Atego_75,30A,23214.0,23528.0,314.0,1
Atego (ATP),Atego (ATP)_12,33B,9389.0,23585.0,14196.0,2
Actros,Actros_73,30B,22884.0,23636.0,752.0,2
Accelo,Accelo_25,32C,16386.0,23704.5,7318.5,1
Atego,Atego_75,31A,23528.0,23842.0,314.0,1
Actros,Actros_69,32B,22687.0,23865.0,1178.0,2
Actros,Actros_73,31B,23636.0,24191.0,555.0,2
Accelo,Accelo_35,32A,11212.0,24192.0,12980.0,1
Accelo,Accelo_19,38,23326.5,24347.5,1021.0,1
Actros,Actros_69,32D,23865.0,24359.0,494.0,2
Arocs,Arocs_76,30B,23636.0,24388.0,752.0,2
Arocs,Arocs_70,32B,23439.0,24830.0,1391.0,2
Accelo,Accelo_21,34A,23433.5,24909.5,1476.0,1
Arocs,Arocs_76,31B,24388.0,24943.0,555.0,2
Accelo,Accelo_22,33A,22125.5,25016.5,2891.0,1
Atego,Atego_78,30A,24718.0,25032.0,314.0,1
Actros,Actros_77,30B,24388.0,25140.0,752.0,2
Accelo,Accelo_38,32A,11528.0,25260.0,13732.0,1
Atego,Atego_28,32C,17520.0,25284.0,7764.0,1
Arocs,Arocs_70,32D,24830.0,25324.0,494.0,2
Atego,Atego_78,31A,25032.0,25346.0,314.0,1
Atego,Atego_79,30A,25048.0,25362.0,314.0,1
Arocs,Arocs_4,34B,14753.666666666666,25670.666666666664,10916.999999999998,2
Atego,Atego_79,31A,25362.0,25676.0,314.0,1
Actros,Actros_77,31B,25140.0,25695.0,555.0,2
Actros,Actros_73,32B,24191.0,25795.0,1604.0,2
Accelo,Accelo_21,38,24909.5,25930.5,1021.0,1
Atego,Atego_81,30A,25708.0,26022.0,314.0,1
