modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Accelo,Accelo_17,34A,1,889.0,671.0,10805.0,11476.0,671.0
Accelo,Accelo_32,31A,1,73.0,316.0,11216.0,11532.0,316.0
Atego,Atego_33,30A,1,0.0,314.0,11220.0,11534.0,314.0
Actros,Actros_15,34B,2,726.0,1623.0,10027.0,11650.0,1623.0
Accelo,Accelo_28,32A,1,1247.0,354.0,11431.0,11785.0,354.0
Atego (ATP),Atego (ATP)_20,33A,1,0.0,376.0,11450.0,11826.0,376.0
Atego,Atego_33,31A,1,0.0,314.0,11534.0,11848.0,314.0
Actros,Actros_23,33B,2,0.0,761.0,11180.0,11941.0,761.0
Atego,Atego_21,32C,1,2352.0,544.0,11450.0,11994.0,544.0
Actros,Actros_15,39,2,0.0,354.0,11650.0,12004.0,354.0
Accelo,Accelo_17,38,1,0.0,633.0,11476.0,12109.0,633.0
Atego,Atego_18,34A,1,957.0,646.0,11476.0,12122.0,646.0
Accelo,Accelo_30,32A,1,986.0,354.0,11785.0,12139.0,354.0
Actros,Actros_29,32B,2,0.0,965.0,11207.0,12172.0,965.0
Atego,Atego_35,30A,1,0.0,314.0,11880.0,12194.0,314.0
Actros,Actros_34,30B,2,0.0,752.0,11550.0,12302.0,752.0
Atego,Atego_21,33A,1,0.0,428.0,11994.0,12422.0,428.0
Atego,Atego_35,31A,1,0.0,314.0,12194.0,12508.0,314.0
Atego,Atego_36,30A,1,0.0,314.0,12210.0,12524.0,314.0
Atego,Atego_22,32C,1,2482.0,544.0,11994.0,12538.0,544.0
Atego,Atego_18,38,1,0.0,633.0,12122.0,12755.0,633.0
Atego,Atego_19,34A,1,1059.0,646.0,12122.0,12768.0,646.0
Atego (ATP),Atego (ATP)_31,32A,1,923.0,677.0,12139.0,12816.0,677.0
Atego,Atego_36,31A,1,0.0,314.0,12524.0,12838.0,314.0
Actros,Actros_34,31B,2,0.0,555.0,12302.0,12857.0,555.0
Atego (ATP),Atego (ATP)_37,30A,1,0.0,326.0,12540.0,12866.0,326.0
Atego,Atego_22,33A,1,0.0,428.0,12538.0,12966.0,428.0
Atego,Atego_24,32C,1,2612.0,544.0,12538.0,13082.0,544.0
Actros,Actros_29,32D,2,0.0,988.0,12172.0,13160.0,988.0
Accelo,Accelo_32,32A,1,1284.0,354.0,12816.0,13170.0,354.0
Atego,Atego_38,30A,1,0.0,314.0,12870.0,13184.0,314.0
Atego (ATP),Atego (ATP)_37,31A,1,0.0,330.0,12866.0,13196.0,330.0
Atego,Atego_19,38,1,0.0,633.0,12768.0,13401.0,633.0
Atego (ATP),Atego (ATP)_20,34A,1,942.0,650.0,12768.0,13418.0,650.0
Accelo,Accelo_39,30A,1,0.0,253.0,13200.0,13453.0,253.0
Atego,Atego_24,33A,1,0.0,428.0,13082.0,13510.0,428.0
Atego,Atego_38,31A,1,12.0,314.0,13196.0,13510.0,314.0
Actros,Actros_23,34B,2,0.0,1623.0,11941.0,13564.0,1623.0
Atego,Atego_33,32A,1,1322.0,414.0,13170.0,13584.0,414.0
Actros,Actros_34,32B,2,0.0,965.0,12857.0,13822.0,965.0
Accelo,Accelo_39,31A,1,57.0,316.0,13510.0,13826.0,316.0
Atego (ATP),Atego (ATP)_25,32C,1,2479.0,815.0,13082.0,13897.0,815.0
Actros,Actros_23,39,2,0.0,354.0,13564.0,13918.0,354.0
Actros,Actros_29,33B,2,0.0,761.0,13160.0,13921.0,761.0
Atego,Atego_35,32A,1,1076.0,414.0,13584.0,13998.0,414.0
Atego (ATP),Atego (ATP)_20,38,1,0.0,633.0,13418.0,14051.0,633.0
Atego,Atego_21,34A,1,996.0,646.0,13418.0,14064.0,646.0
Atego,Atego_41,30A,1,0.0,314.0,13860.0,14174.0,314.0
Atego (ATP),Atego (ATP)_25,33A,1,0.0,376.0,13897.0,14273.0,376.0
Actros,Actros_40,30B,2,0.0,752.0,13530.0,14282.0,752.0
Atego,Atego_36,32A,1,1160.0,414.0,13998.0,14412.0,414.0
Atego,Atego_26,32C,1,2880.0,544.0,13897.0,14441.0,544.0
Accelo,Accelo_42,30A,1,0.0,253.0,14190.0,14443.0,253.0
Atego,Atego_41,31A,1,0.0,314.0,14174.0,14488.0,314.0
Atego,Atego_21,38,1,0.0,633.0,14064.0,14697.0,633.0
Atego,Atego_22,34A,1,1098.0,646.0,14064.0,14710.0,646.0
Accelo,Accelo_42,31A,1,45.0,316.0,14488.0,14804.0,316.0
Actros,Actros_34,32D,2,0.0,988.0,13822.0,14810.0,988.0
Actros,Actros_40,31B,2,0.0,555.0,14282.0,14837.0,555.0
Atego (ATP),Atego (ATP)_43,30A,1,0.0,326.0,14520.0,14846.0,326.0
Atego,Atego_26,33A,1,0.0,428.0,14441.0,14869.0,428.0
Atego,Atego_27,32C,1,3010.0,544.0,14441.0,14985.0,544.0
Atego (ATP),Atego (ATP)_37,32A,1,1216.0,677.0,14412.0,15089.0,677.0
Accelo,Accelo_44,30A,1,0.0,253.0,14850.0,15103.0,253.0
Atego (ATP),Atego (ATP)_43,31A,1,0.0,330.0,14846.0,15176.0,330.0
Atego,Atego_22,38,1,0.0,633.0,14710.0,15343.0,633.0
Atego,Atego_24,34A,1,1200.0,646.0,14710.0,15356.0,646.0
Atego,Atego_27,33A,1,0.0,428.0,14985.0,15413.0,428.0
Accelo,Accelo_44,31A,1,73.0,316.0,15176.0,15492.0,316.0
Atego,Atego_38,32A,1,1579.0,414.0,15089.0,15503.0,414.0
Actros,Actros_29,34B,2,0.0,1623.0,13921.0,15544.0,1623.0
Accelo,Accelo_28,32C,1,3200.0,561.0,14985.0,15546.0,561.0
Actros,Actros_34,33B,2,0.0,761.0,14810.0,15571.0,761.0
Actros,Actros_40,32B,2,0.0,965.0,14837.0,15802.0,965.0
Atego,Atego_46,30A,1,0.0,314.0,15510.0,15824.0,314.0
Accelo,Accelo_39,32A,1,1677.0,354.0,15503.0,15857.0,354.0
Actros,Actros_29,39,2,0.0,354.0,15544.0,15898.0,354.0
Accelo,Accelo_28,33A,1,0.0,369.0,15546.0,15915.0,369.0
Actros,Actros_45,30B,2,0.0,752.0,15180.0,15932.0,752.0
Atego,Atego_24,38,1,0.0,633.0,15356.0,15989.0,633.0
Atego (ATP),Atego (ATP)_25,34A,1,1083.0,650.0,15356.0,16006.0,650.0
Accelo,Accelo_30,32C,1,3407.0,561.0,15546.0,16107.0,561.0
Atego,Atego_46,31A,1,0.0,314.0,15824.0,16138.0,314.0
Atego,Atego_47,30A,1,0.0,314.0,15840.0,16154.0,314.0
Atego,Atego_41,32A,1,1369.0,414.0,15857.0,16271.0,414.0
Atego,Atego_47,31A,1,0.0,314.0,16154.0,16468.0,314.0
Accelo,Accelo_30,33A,1,0.0,369.0,16107.0,16476.0,369.0
Actros,Actros_45,31B,2,0.0,555.0,15932.0,16487.0,555.0
Atego (ATP),Atego (ATP)_48,30A,1,0.0,326.0,16170.0,16496.0,326.0
Accelo,Accelo_42,32A,1,1467.0,354.0,16271.0,16625.0,354.0
Atego (ATP),Atego (ATP)_25,38,1,0.0,633.0,16006.0,16639.0,633.0
Atego,Atego_26,34A,1,1137.0,646.0,16006.0,16652.0,646.0
Actros,Actros_40,32D,2,0.0,988.0,15802.0,16790.0,988.0
Atego,Atego_49,30A,1,0.0,314.0,16500.0,16814.0,314.0
Atego (ATP),Atego (ATP)_48,31A,1,0.0,330.0,16496.0,16826.0,330.0
Atego (ATP),Atego (ATP)_31,32C,1,3291.0,815.0,16107.0,16922.0,815.0
Atego,Atego_49,31A,1,12.0,314.0,16826.0,17140.0,314.0
Actros,Actros_34,34B,2,0.0,1623.0,15571.0,17194.0,1623.0
Atego,Atego_26,38,1,0.0,633.0,16652.0,17285.0,633.0
Atego,Atego_27,34A,1,1239.0,646.0,16652.0,17298.0,646.0
Atego (ATP),Atego (ATP)_31,33A,1,0.0,376.0,16922.0,17298.0,376.0
Atego (ATP),Atego (ATP)_43,32A,1,1449.0,677.0,16625.0,17302.0,677.0
Accelo,Accelo_51,30A,1,0.0,253.0,17160.0,17413.0,253.0
Actros,Actros_45,32B,2,0.0,965.0,16487.0,17452.0,965.0
Accelo,Accelo_32,32C,1,3752.0,561.0,16922.0,17483.0,561.0
Actros,Actros_34,39,2,0.0,354.0,17194.0,17548.0,354.0
Actros,Actros_40,33B,2,0.0,761.0,16790.0,17551.0,761.0
Actros,Actros_50,30B,2,0.0,752.0,16830.0,17582.0,752.0
Accelo,Accelo_44,32A,1,1810.0,354.0,17302.0,17656.0,354.0
Accelo,Accelo_51,31A,1,0.0,316.0,17413.0,17729.0,316.0
Atego (ATP),Atego (ATP)_52,30A,1,0.0,326.0,17490.0,17816.0,326.0
Accelo,Accelo_32,33A,1,0.0,369.0,17483.0,17852.0,369.0
Atego,Atego_27,38,1,0.0,633.0,17298.0,17931.0,633.0
Accelo,Accelo_28,34A,1,1383.0,671.0,17298.0,17969.0,671.0
Atego,Atego_33,32C,1,3899.0,544.0,17483.0,18027.0,544.0
Atego,Atego_46,32A,1,1518.0,414.0,17656.0,18070.0,414.0
Atego,Atego_53,30A,1,0.0,314.0,17820.0,18134.0,314.0
Actros,Actros_50,31B,2,0.0,555.0,17582.0,18137.0,555.0
Atego (ATP),Atego (ATP)_52,31A,1,0.0,330.0,17816.0,18146.0,330.0
Actros,Actros_45,32D,2,0.0,988.0,17452.0,18440.0,988.0
Atego,Atego_33,33A,1,0.0,428.0,18027.0,18455.0,428.0
Atego,Atego_53,31A,1,12.0,314.0,18146.0,18460.0,314.0
Atego,Atego_54,30A,1,0.0,314.0,18150.0,18464.0,314.0
Atego,Atego_47,32A,1,1602.0,414.0,18070.0,18484.0,414.0
Atego,Atego_35,32C,1,4029.0,544.0,18027.0,18571.0,544.0
Accelo,Accelo_28,38,1,0.0,633.0,17969.0,18602.0,633.0
Accelo,Accelo_30,34A,1,1493.0,671.0,17969.0,18640.0,671.0
Accelo,Accelo_55,30A,1,0.0,253.0,18480.0,18733.0,253.0
Atego,Atego_54,31A,1,0.0,314.0,18464.0,18778.0,314.0
Atego,Atego_35,33A,1,0.0,428.0,18571.0,18999.0,428.0
Accelo,Accelo_55,31A,1,45.0,316.0,18778.0,19094.0,316.0
Actros,Actros_50,32B,2,0.0,965.0,18137.0,19102.0,965.0
Atego,Atego_36,32C,1,4159.0,544.0,18571.0,19115.0,544.0
Atego (ATP),Atego (ATP)_56,30A,1,0.0,326.0,18810.0,19136.0,326.0
Atego (ATP),Atego (ATP)_48,32A,1,1658.0,677.0,18484.0,19161.0,677.0
Actros,Actros_40,34B,2,0.0,1623.0,17551.0,19174.0,1623.0
Actros,Actros_45,33B,2,0.0,761.0,18440.0,19201.0,761.0
Accelo,Accelo_30,38,1,0.0,633.0,18640.0,19273.0,633.0
Atego (ATP),Atego (ATP)_31,34A,1,1342.0,650.0,18640.0,19290.0,650.0
Atego,Atego_57,30A,1,0.0,314.0,19140.0,19454.0,314.0
Atego (ATP),Atego (ATP)_56,31A,1,0.0,330.0,19136.0,19466.0,330.0
Actros,Actros_40,39,2,0.0,354.0,19174.0,19528.0,354.0
Atego,Atego_36,33A,1,0.0,428.0,19115.0,19543.0,428.0
Atego,Atego_49,32A,1,2021.0,414.0,19161.0,19575.0,414.0
Accelo,Accelo_58,30A,1,0.0,253.0,19470.0,19723.0,253.0
