modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego (ATP),Atego (ATP)_42,33B,2,0.0,376.0,16175.0,16551.0,376.0
Accelo,Accelo_27,38,1,0.0,633.0,15924.0,16557.0,633.0
Accelo,Accelo_29,34A,1,2198.0,671.0,15924.0,16595.0,671.0
Accelo,Accelo_48,30A,1,0.0,253.0,16354.0,16607.0,253.0
Accelo,Accelo_47,31A,1,45.0,316.0,16322.0,16638.0,316.0
Atego,Atego_37,32C,1,2261.0,544.0,16111.0,16655.0,544.0
Actros,Actros_45,31B,2,0.0,555.0,16116.0,16671.0,555.0
Atego,Atego_46,32A,1,0.0,414.0,16322.0,16736.0,414.0
Atego (ATP),Atego (ATP)_39,34B,2,795.0,395.0,16356.0,16751.0,395.0
Atego (ATP),Atego (ATP)_39,39,2,0.0,120.0,16751.0,16871.0,120.0
Accelo,Accelo_48,31A,1,31.0,316.0,16638.0,16954.0,316.0
Atego (ATP),Atego (ATP)_49,30B,2,0.0,326.0,16684.0,17010.0,326.0
Atego,Atego_37,33A,1,0.0,428.0,16655.0,17083.0,428.0
Accelo,Accelo_47,32A,1,98.0,354.0,16736.0,17090.0,354.0
Atego (ATP),Atego (ATP)_42,34B,2,200.0,395.0,16751.0,17146.0,395.0
Atego,Atego_38,32C,1,2391.0,544.0,16655.0,17199.0,544.0
Accelo,Accelo_29,38,1,0.0,633.0,16595.0,17228.0,633.0
Atego,Atego_31,34A,1,2266.0,646.0,16595.0,17241.0,646.0
Atego (ATP),Atego (ATP)_42,39,2,0.0,120.0,17146.0,17266.0,120.0
Accelo,Accelo_50,30A,1,0.0,253.0,17014.0,17267.0,253.0
Atego (ATP),Atego (ATP)_49,31B,2,0.0,330.0,17010.0,17340.0,330.0
Accelo,Accelo_48,32A,1,136.0,354.0,17090.0,17444.0,354.0
Accelo,Accelo_50,31A,1,0.0,316.0,17267.0,17583.0,316.0
Atego,Atego_38,33A,1,0.0,428.0,17199.0,17627.0,428.0
Actros,Actros_45,32B,2,0.0,965.0,16671.0,17636.0,965.0
Atego,Atego_51,30A,1,0.0,314.0,17344.0,17658.0,314.0
Atego,Atego_40,32C,1,2443.0,544.0,17199.0,17743.0,544.0
Atego,Atego_31,38,1,0.0,633.0,17241.0,17874.0,633.0
Actros,Actros_45,32D,2,0.0,247.0,17636.0,17883.0,247.0
Atego,Atego_32,34A,1,2368.0,646.0,17241.0,17887.0,646.0
Accelo,Accelo_52,30A,1,0.0,253.0,17674.0,17927.0,253.0
Accelo,Accelo_50,32A,1,0.0,354.0,17583.0,17937.0,354.0
Atego,Atego_51,31A,1,0.0,314.0,17658.0,17972.0,314.0
Atego,Atego_40,33A,1,0.0,428.0,17743.0,18171.0,428.0
Atego (ATP),Atego (ATP)_49,32B,2,296.0,557.0,17636.0,18193.0,557.0
Accelo,Accelo_53,30A,1,0.0,253.0,18004.0,18257.0,253.0
Accelo,Accelo_52,31A,1,45.0,316.0,17972.0,18288.0,316.0
Accelo,Accelo_41,32C,1,2633.0,561.0,17743.0,18304.0,561.0
Atego,Atego_51,32A,1,0.0,414.0,17972.0,18386.0,414.0
Atego,Atego_32,38,1,0.0,633.0,17887.0,18520.0,633.0
Accelo,Accelo_34,34A,1,2512.0,671.0,17887.0,18558.0,671.0
Accelo,Accelo_53,31A,1,31.0,316.0,18288.0,18604.0,316.0
Actros,Actros_45,33B,2,0.0,761.0,17883.0,18644.0,761.0
Atego (ATP),Atego (ATP)_54,30B,2,0.0,326.0,18334.0,18660.0,326.0
Accelo,Accelo_41,33A,1,0.0,369.0,18304.0,18673.0,369.0
Accelo,Accelo_52,32A,1,98.0,354.0,18386.0,18740.0,354.0
Atego (ATP),Atego (ATP)_49,32D,2,0.0,588.0,18193.0,18781.0,588.0
Atego,Atego_43,32C,1,2558.0,544.0,18304.0,18848.0,544.0
Atego,Atego_55,30A,1,0.0,314.0,18664.0,18978.0,314.0
Atego (ATP),Atego (ATP)_54,31B,2,0.0,330.0,18660.0,18990.0,330.0
Accelo,Accelo_53,32A,1,136.0,354.0,18740.0,19094.0,354.0
Atego (ATP),Atego (ATP)_49,33B,2,0.0,376.0,18781.0,19157.0,376.0
Accelo,Accelo_34,38,1,0.0,633.0,18558.0,19191.0,633.0
Accelo,Accelo_35,34A,1,2622.0,671.0,18558.0,19229.0,671.0
Atego,Atego_43,33A,1,0.0,428.0,18848.0,19276.0,428.0
Atego,Atego_55,31A,1,0.0,314.0,18978.0,19292.0,314.0
Atego,Atego_56,30A,1,0.0,314.0,18994.0,19308.0,314.0
Atego,Atego_44,32C,1,2688.0,544.0,18848.0,19392.0,544.0
Atego (ATP),Atego (ATP)_54,32B,2,0.0,557.0,18990.0,19547.0,557.0
Atego,Atego_56,31A,1,0.0,314.0,19308.0,19622.0,314.0
Atego,Atego_55,32A,1,0.0,414.0,19292.0,19706.0,414.0
Atego,Atego_44,33A,1,0.0,428.0,19392.0,19820.0,428.0
Accelo,Accelo_35,38,1,0.0,633.0,19229.0,19862.0,633.0
Atego,Atego_36,34A,1,2690.0,646.0,19229.0,19875.0,646.0
Accelo,Accelo_58,30A,1,0.0,253.0,19654.0,19907.0,253.0
Atego,Atego_46,32C,1,2656.0,544.0,19392.0,19936.0,544.0
Actros,Actros_57,30B,2,0.0,752.0,19324.0,20076.0,752.0
Atego,Atego_56,32A,1,84.0,414.0,19706.0,20120.0,414.0
Atego (ATP),Atego (ATP)_54,32D,2,0.0,588.0,19547.0,20135.0,588.0
Accelo,Accelo_58,31A,1,0.0,316.0,19907.0,20223.0,316.0
Actros,Actros_45,34B,2,0.0,1623.0,18644.0,20267.0,1623.0
Atego,Atego_46,33A,1,0.0,428.0,19936.0,20364.0,428.0
Atego (ATP),Atego (ATP)_59,30B,2,0.0,326.0,20076.0,20402.0,326.0
Accelo,Accelo_47,32C,1,2846.0,561.0,19936.0,20497.0,561.0
Atego,Atego_36,38,1,0.0,633.0,19875.0,20508.0,633.0
Atego (ATP),Atego (ATP)_54,33B,2,0.0,376.0,20135.0,20511.0,376.0
Atego,Atego_37,34A,1,2792.0,646.0,19875.0,20521.0,646.0
Accelo,Accelo_58,32A,1,0.0,354.0,20223.0,20577.0,354.0
Actros,Actros_45,39,2,0.0,354.0,20267.0,20621.0,354.0
Actros,Actros_57,31B,2,0.0,555.0,20076.0,20631.0,555.0
Atego (ATP),Atego (ATP)_49,34B,2,1110.0,395.0,20267.0,20662.0,395.0
Atego,Atego_60,30A,1,0.0,314.0,20406.0,20720.0,314.0
Atego (ATP),Atego (ATP)_49,39,2,0.0,120.0,20662.0,20782.0,120.0
Accelo,Accelo_47,33A,1,0.0,369.0,20497.0,20866.0,369.0
Atego (ATP),Atego (ATP)_59,31B,2,229.0,330.0,20631.0,20961.0,330.0
Atego,Atego_60,31A,1,0.0,314.0,20720.0,21034.0,314.0
Atego (ATP),Atego (ATP)_54,34B,2,151.0,395.0,20662.0,21057.0,395.0
Accelo,Accelo_48,32C,1,3053.0,561.0,20497.0,21058.0,561.0
Atego,Atego_37,38,1,0.0,633.0,20521.0,21154.0,633.0
Atego,Atego_38,34A,1,2894.0,646.0,20521.0,21167.0,646.0
Atego (ATP),Atego (ATP)_54,39,2,0.0,120.0,21057.0,21177.0,120.0
Atego,Atego_62,30A,1,0.0,314.0,21066.0,21380.0,314.0
Accelo,Accelo_48,33A,1,0.0,369.0,21058.0,21427.0,369.0
Atego,Atego_60,32A,1,0.0,414.0,21034.0,21448.0,414.0
Actros,Actros_61,30B,2,0.0,752.0,20736.0,21488.0,752.0
Actros,Actros_57,32B,2,0.0,965.0,20631.0,21596.0,965.0
Accelo,Accelo_50,32C,1,3121.0,561.0,21058.0,21619.0,561.0
Atego,Atego_62,31A,1,0.0,314.0,21380.0,21694.0,314.0
Atego,Atego_38,38,1,0.0,633.0,21167.0,21800.0,633.0
Atego,Atego_40,34A,1,2996.0,646.0,21167.0,21813.0,646.0
Atego (ATP),Atego (ATP)_63,30B,2,0.0,326.0,21488.0,21814.0,326.0
Actros,Actros_57,32D,2,0.0,247.0,21596.0,21843.0,247.0
Accelo,Accelo_50,33A,1,0.0,369.0,21619.0,21988.0,369.0
Actros,Actros_61,31B,2,0.0,555.0,21488.0,22043.0,555.0
Atego,Atego_62,32A,1,0.0,414.0,21694.0,22108.0,414.0
Atego,Atego_64,30A,1,0.0,314.0,21818.0,22132.0,314.0
Atego (ATP),Atego (ATP)_59,32B,2,635.0,557.0,21596.0,22153.0,557.0
Atego,Atego_51,32C,1,3233.0,544.0,21619.0,22163.0,544.0
Atego (ATP),Atego (ATP)_63,31B,2,229.0,330.0,22043.0,22373.0,330.0
Atego,Atego_40,38,1,0.0,633.0,21813.0,22446.0,633.0
Atego,Atego_64,31A,1,0.0,314.0,22132.0,22446.0,314.0
Accelo,Accelo_41,34A,1,3140.0,671.0,21813.0,22484.0,671.0
Atego,Atego_51,33A,1,0.0,428.0,22163.0,22591.0,428.0
Actros,Actros_57,33B,2,0.0,761.0,21843.0,22604.0,761.0
Accelo,Accelo_52,32C,1,3423.0,561.0,22163.0,22724.0,561.0
Atego (ATP),Atego (ATP)_59,32D,2,0.0,588.0,22153.0,22741.0,588.0
Atego,Atego_66,30A,1,0.0,314.0,22478.0,22792.0,314.0
Atego,Atego_64,32A,1,0.0,414.0,22446.0,22860.0,414.0
Actros,Actros_65,30B,2,0.0,752.0,22148.0,22900.0,752.0
Accelo,Accelo_52,33A,1,0.0,369.0,22724.0,23093.0,369.0
Atego,Atego_66,31A,1,0.0,314.0,22792.0,23106.0,314.0
Accelo,Accelo_41,38,1,0.0,633.0,22484.0,23117.0,633.0
Atego (ATP),Atego (ATP)_59,33B,2,0.0,376.0,22741.0,23117.0,376.0
Actros,Actros_61,32B,2,110.0,965.0,22153.0,23118.0,965.0
Atego,Atego_67,30A,1,0.0,314.0,22808.0,23122.0,314.0
Atego,Atego_43,34A,1,3208.0,646.0,22484.0,23130.0,646.0
Accelo,Accelo_53,32C,1,3630.0,561.0,22724.0,23285.0,561.0
Actros,Actros_61,32D,2,0.0,247.0,23118.0,23365.0,247.0
Atego,Atego_67,31A,1,0.0,314.0,23122.0,23436.0,314.0
Actros,Actros_65,31B,2,0.0,555.0,22900.0,23455.0,555.0
