modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego (ATP),Atego (ATP)_33,31A,1,0.0,330.0,12390.0,12720.0,330.0
Atego quinta roda,Atego quinta roda_23,39,2,0.0,120.0,12650.0,12770.0,120.0
Atego,Atego_32,32A,1,0.0,414.0,12362.0,12776.0,414.0
Actros,Actros_30,32B,2,0.0,965.0,11959.0,12924.0,965.0
Atego,Atego_24,33A,1,0.0,428.0,12545.0,12973.0,428.0
Accelo,Accelo_35,30A,1,0.0,253.0,12724.0,12977.0,253.0
Accelo,Accelo_34,31A,1,73.0,316.0,12720.0,13036.0,316.0
Atego,Atego_19,38,1,0.0,633.0,12445.0,13078.0,633.0
Atego,Atego_21,34A,1,831.0,646.0,12445.0,13091.0,646.0
Accelo,Accelo_26,32C,1,2163.0,561.0,12545.0,13106.0,561.0
Actros,Actros_30,32D,2,0.0,247.0,12924.0,13171.0,247.0
Accelo,Accelo_35,31A,1,59.0,316.0,13036.0,13352.0,316.0
Atego,Atego_36,30A,1,0.0,314.0,13054.0,13368.0,314.0
Atego (ATP),Atego (ATP)_33,32A,1,56.0,677.0,12776.0,13453.0,677.0
Accelo,Accelo_26,33A,1,0.0,369.0,13106.0,13475.0,369.0
Atego quinta roda,Atego quinta roda_31,32B,2,635.0,557.0,12924.0,13481.0,557.0
Accelo,Accelo_27,32C,1,2370.0,561.0,13106.0,13667.0,561.0
Atego,Atego_36,31A,1,0.0,314.0,13368.0,13682.0,314.0
Atego,Atego_37,30A,1,0.0,314.0,13384.0,13698.0,314.0
Atego,Atego_21,38,1,0.0,633.0,13091.0,13724.0,633.0
Atego (ATP),Atego (ATP)_22,34A,1,714.0,650.0,13091.0,13741.0,650.0
Accelo,Accelo_34,32A,1,417.0,354.0,13453.0,13807.0,354.0
Actros,Actros_30,33B,2,0.0,761.0,13171.0,13932.0,761.0
Atego,Atego_37,31A,1,0.0,314.0,13698.0,14012.0,314.0
Accelo,Accelo_27,33A,1,0.0,369.0,13667.0,14036.0,369.0
Atego quinta roda,Atego quinta roda_38,30B,2,0.0,326.0,13714.0,14040.0,326.0
Atego quinta roda,Atego quinta roda_31,32D,2,0.0,588.0,13481.0,14069.0,588.0
Accelo,Accelo_35,32A,1,455.0,354.0,13807.0,14161.0,354.0
Actros,Actros_25,34B,2,368.0,1623.0,12650.0,14273.0,1623.0
Atego quinta roda,Atego quinta roda_38,31B,2,0.0,330.0,14040.0,14370.0,330.0
Atego (ATP),Atego (ATP)_39,30A,1,0.0,326.0,14044.0,14370.0,326.0
Atego (ATP),Atego (ATP)_22,38,1,0.0,633.0,13741.0,14374.0,633.0
Atego,Atego_24,34A,1,768.0,646.0,13741.0,14387.0,646.0
Atego quinta roda,Atego quinta roda_31,33B,2,0.0,376.0,14069.0,14445.0,376.0
Atego (ATP),Atego (ATP)_28,32C,1,2254.0,815.0,13667.0,14482.0,815.0
Atego,Atego_36,32A,1,479.0,414.0,14161.0,14575.0,414.0
Actros,Actros_25,39,2,0.0,354.0,14273.0,14627.0,354.0
Atego,Atego_40,30A,1,0.0,314.0,14374.0,14688.0,314.0
Atego (ATP),Atego (ATP)_39,31A,1,0.0,330.0,14370.0,14700.0,330.0
Atego (ATP),Atego (ATP)_28,33A,1,0.0,376.0,14482.0,14858.0,376.0
Atego quinta roda,Atego quinta roda_38,32B,2,0.0,557.0,14370.0,14927.0,557.0
Accelo,Accelo_41,30A,1,0.0,253.0,14704.0,14957.0,253.0
