c.c.;Posto;Descrição;C951102;C951104;C951111;C951500;C951501;C951511;C951514;C951530;C951544;C963403;C963411;C963414;C963424;C963425;C964016;C964231;C964416;C968114;C968403;C968450;C968461
122.4;VHDM03;POSICIONAMENTO DO EIXO E BRACO TENSOR;0,00;0,00;3,00;2,50;2,50;10,50;2,00;1,00;11,50;22,10;22,10;22,10;22,10;22,10;2,00;13,36;2,00;5,06;5,06;17,42;17,42
122.4;VHDM04;POSICIONAMENTO DE SUPORTES E BUCHAS  ;1,00;1,00;1,00;1,35;1,35;3,87;2,52;2,52;3,87;5,48;5,00;7,50;2,00;4,48;9,96;9,96;10,96;3,00;3,48;5,00;0,00
122.4;VHDM05;MONTAGEM DE GRAMPO DE MOLAS          ;6,00;6,00;15,00;13,77;13,77;8,97;8,97;16,00;17,00;4,50;16,50;4,50;4,50;4,50;1,50;6,00;4,50;2,00;2,00;4,50;16,50
122.4;VHDM06;FIXACAO DE GRAMPO DE MOLAS           ;0,00;0,00;1,00;6,96;6,96;6,96;6,96;6,96;6,96;1,00;7,98;0,00;1,00;1,00;0,00;0,00;0,00;6,96;6,96;1,00;1,00
122.4;VHDM07;FIXACAO BRACO TENSOR TRASEIRO 6X2    ;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
122.4;VHDM08;PRE-MONTAGEM BARRA ESTABILIZADORA    ;1,50;2,50;1,00;7,42;5,02;5,02;5,02;5,02;5,02;2,00;2,00;2,00;2,00;2,00;4,00;6,00;4,00;6,90;6,90;2,00;2,00
122.4;VHPM12;PRE-MONTAGEM RESERV. DE AR             ;25,08;35,58;44,76;12,82;17,61;24,34;17,74;21,74;32,20;28,98;22,94;21,98;25,98;32,48;16,50;40,50;28,98;24,32;30,28;26,48;30,46
122.4;VHPM18;PRE-MONTAGEM FILTRO DE AR / SERPENTINA ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;1,60;9,42;2,40;9,42;9,42;9,42;0,00;0,00;0,00;0,00;0,00;3,48;3,48
122.4;VHDP01;POSICIONAMENTO DE EIXO E SUPORTES    ;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,57;10,09;10,61;15,53;14,55;3,00;4,00;3,00;9,05;5,55;2,55;3,55
122.4;VHDP02;FIXACOES                             ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,98;0,00;0,00;17,02;14,96;16,54;16,54;16,54;14,02;9,98;0,00;0,00
122.4;VHDP03;MONTAGEM DA BARRA ESTABILIZADORA             ;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;6,00;0,00;2,00;12,00;16,50;11,98;13,48;11,98;7,48;6,00;3,48;0,00
